review_id,review,rating,date,source,bank
231,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Google Play,Commercial Bank of Ethiopia
232,Juhaar,5,2025-09-24,Google Play,Commercial Bank of Ethiopia
233,I am using CBE app very fantastic.,5,2025-09-24,Google Play,Commercial Bank of Ethiopia
234,bist app tankyou,4,2025-09-23,Google Play,Commercial Bank of Ethiopia
235,this is very useful and consistent app,5,2025-09-23,Google Play,Commercial Bank of Ethiopia
236,"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Google Play,Commercial Bank of Ethiopia
237,So good,5,2025-09-23,Google Play,Commercial Bank of Ethiopia
238,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Google Play,Commercial Bank of Ethiopia
239,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Google Play,Commercial Bank of Ethiopia
240,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Google Play,Commercial Bank of Ethiopia
241,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Google Play,Commercial Bank of Ethiopia
242,very important app,4,2025-09-21,Google Play,Commercial Bank of Ethiopia
243,the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Google Play,Commercial Bank of Ethiopia
244,ok,5,2025-09-21,Google Play,Commercial Bank of Ethiopia
245,DANTRO BAND!!!,5,2025-09-21,Google Play,Commercial Bank of Ethiopia
246,some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Google Play,Commercial Bank of Ethiopia
247,this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,Google Play,Commercial Bank of Ethiopia
248,why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Google Play,Commercial Bank of Ethiopia
249,አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,Google Play,Commercial Bank of Ethiopia
250,asfaw damse,5,2025-09-19,Google Play,Commercial Bank of Ethiopia
251,ok,5,2025-09-19,Google Play,Commercial Bank of Ethiopia
252,nice,5,2025-09-19,Google Play,Commercial Bank of Ethiopia
253,jabadhaa namatii tolataan,5,2025-09-19,Google Play,Commercial Bank of Ethiopia
254,"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Google Play,Commercial Bank of Ethiopia
255,The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Google Play,Commercial Bank of Ethiopia
256,Truly amazing!,5,2025-09-18,Google Play,Commercial Bank of Ethiopia
257,Doesn't have option to generate statement for transactions,3,2025-09-18,Google Play,Commercial Bank of Ethiopia
258,😎,5,2025-09-18,Google Play,Commercial Bank of Ethiopia
259,JanaleBl,5,2025-09-17,Google Play,Commercial Bank of Ethiopia
260,very good,5,2025-09-17,Google Play,Commercial Bank of Ethiopia
261,very good,5,2025-09-17,Google Play,Commercial Bank of Ethiopia
262,nice application,5,2025-09-17,Google Play,Commercial Bank of Ethiopia
263,WaaaaaaaW,1,2025-09-17,Google Play,Commercial Bank of Ethiopia
264,very nice,5,2025-09-16,Google Play,Commercial Bank of Ethiopia
265,Of,5,2025-09-16,Google Play,Commercial Bank of Ethiopia
266,it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,Google Play,Commercial Bank of Ethiopia
267,Easy to use and not Complicated 👍,5,2025-09-15,Google Play,Commercial Bank of Ethiopia
268,apdat the app,5,2025-09-14,Google Play,Commercial Bank of Ethiopia
269,good in bankin at any time & any where.,5,2025-09-13,Google Play,Commercial Bank of Ethiopia
270,great,5,2025-09-13,Google Play,Commercial Bank of Ethiopia
271,"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,Google Play,Commercial Bank of Ethiopia
272,it is best to me,1,2025-09-13,Google Play,Commercial Bank of Ethiopia
273,hayizgi mebrahtom feshay,5,2025-09-13,Google Play,Commercial Bank of Ethiopia
274,best,5,2025-09-13,Google Play,Commercial Bank of Ethiopia
275,good,5,2025-09-12,Google Play,Commercial Bank of Ethiopia
276,great,5,2025-09-12,Google Play,Commercial Bank of Ethiopia
277,Excellent app,5,2025-09-12,Google Play,Commercial Bank of Ethiopia
278,good,5,2025-09-12,Google Play,Commercial Bank of Ethiopia
279,after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,Google Play,Commercial Bank of Ethiopia
280,love,5,2025-09-12,Google Play,Commercial Bank of Ethiopia
281,good,3,2025-09-11,Google Play,Commercial Bank of Ethiopia
282,Hasasa bank,1,2025-09-11,Google Play,Commercial Bank of Ethiopia
283,All ways Trusted.,5,2025-09-11,Google Play,Commercial Bank of Ethiopia
284,best MB application in Ethiopia financial sector.,5,2025-09-11,Google Play,Commercial Bank of Ethiopia
285,I like this app,5,2025-09-11,Google Play,Commercial Bank of Ethiopia
286,am tired why I have to update every 5 day,1,2025-09-11,Google Play,Commercial Bank of Ethiopia
287,excellent,5,2025-09-10,Google Play,Commercial Bank of Ethiopia
288,best,5,2025-09-10,Google Play,Commercial Bank of Ethiopia
289,usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,Google Play,Commercial Bank of Ethiopia
290,good morning 🙏,5,2025-09-10,Google Play,Commercial Bank of Ethiopia
